,symbol,priceChange,priceChangePercent,lastPrice
1392,ONTTRY,0.044,0.762,5.821
1579,ORNBUSD,0.041,2.231,1.879
908,BALBUSD,0.04,0.364,11.04
1236,XLMTRY,0.035,1.532,2.319
1305,ADABRL,0.031,0.941,3.324
1435,ARUSDT,0.03,0.168,17.85
2025,NEXOBUSD,0.028,1.625,1.751
1015,XRPUPUSDT,0.0258,6.048,0.4524
1786,RNDRUSDT,0.025,2.174,1.175
1988,JASMYTRY,0.0248,11.578,0.239
1286,CAKEUSDT,0.024,0.411,5.864
1565,MINAUSDT,0.022,1.52,1.469
903,XRPAUD,0.0218,3.025,0.7424
1796,MCBUSD,0.02,1.527,1.33
1274,SFPBUSD,0.0197,3.767,0.5427
720,BNTBUSD,0.019,1.176,1.634
1564,MINABUSD,0.018,1.242,1.467
413,XRPTUSD,0.0178,3.567,0.5168
910,YFIBTC,0.0177,4.156,0.4436
1275,SFPUSDT,0.0172,3.279,0.5418
1360,ENJGBP,0.0171,2.564,0.6841
692,XRPEUR,0.0153,3.221,0.4903
306,XRPUSDT,0.0148,2.96,0.5148
631,XRPBUSD,0.0146,2.92,0.5146
419,XRPUSDC,0.0141,2.818,0.5145
1124,CTKBUSD,0.013,1.449,0.91
823,XRPGBP,0.0127,3.127,0.4189
1905,ROSETRY,0.012,0.599,2.017
1316,ADAAUD,0.0114,1.247,0.9257
1125,CTKUSDT,0.011,1.225,0.909
1489,SOLGBP,0.01,0.019,53.91
1611,POLYBUSD,0.0083,3.23,0.2653
674,QTUMBUSD,0.008,0.17,4.715
655,ADABUSD,0.0077,1.213,0.6426
1151,ADAEUR,0.0076,1.259,0.6111
1618,POLYUSDT,0.0075,2.904,0.2658
1256,TWTBUSD,0.0073,0.959,0.7686
486,ADAUSDC,0.0072,1.132,0.6431
1364,RVNTRY,0.0069,1.309,0.5341
296,ADAUSDT,0.0068,1.07,0.6426
1306,ADAGBP,0.0063,1.219,0.5231
1013,TRXUPUSDT,0.00613,7.03,0.09333
1330,CHZBRL,0.006,0.821,0.737
1257,TWTUSDT,0.0056,0.734,0.7684
1265,DOGEBRL,0.005,0.885,0.57
1799,COCOSBUSD,0.0046,0.469,0.9857
1883,GLMRUSDT,0.0045,0.247,1.8228
587,COCOSUSDT,0.0044,0.449,0.9836
1075,UTKUSDT,0.0041,2.621,0.1605
803,WRXBUSD,0.004,1.102,0.367
1606,OGNBUSD,0.0039,1.307,0.3022
1516,UTKBUSD,0.0038,2.423,0.1606
464,ONGUSDT,0.0036,0.76,0.4773
449,TRXUSDC,0.00348,4.592,0.07927
424,TRXTUSD,0.00341,4.494,0.07929
350,TRXUSDT,0.00334,4.4,0.07925
649,TRXBUSD,0.00333,4.387,0.07924
1417,TRXEUR,0.0032,4.433,0.07539
1261,BETHETH,0.0031,0.323,0.9634
714,WRXUSDT,0.003,0.826,0.366
773,WTCUSDT,0.0029,1.299,0.2261
467,ZILUSDT,0.00269,4.057,0.06899
804,ZILBUSD,0.00266,4.008,0.06902
1337,CHZGBP,0.0026,2.285,0.1164
1882,GLMRBUSD,0.0024,0.132,1.826
697,OGNUSDT,0.0021,0.7,0.3021
1675,STPTBUSD,0.00202,3.437,0.0608
1317,HOTTRY,0.00192,3.575,0.05562
1336,CHZEUR,0.0018,1.349,0.1352
426,TRXXRP,0.00176,1.156,0.15395
2034,JASMYEUR,0.0016,12.308,0.0146
0,ETHBTC,0.001543,2.091,0.075319
1046,OXTUSDT,0.0015,0.97,0.1561
764,STPTUSDT,0.00148,2.509,0.06047
1674,HIVEBUSD,0.0014,0.227,0.619
1264,DOGEAUD,0.0013,0.827,0.1585
609,CHZUSDT,0.0012,0.853,0.1419
788,CTSIBUSD,0.0011,0.529,0.2091
1768,VGXUSDT,0.001,0.101,0.991
1947,TBUSD,0.0009,1.415,0.0645
596,PERLUSDT,0.00089,3.926,0.02356
1117,ONEBUSD,0.00087,1.398,0.0631
525,ONEUSDT,0.00084,1.35,0.06307
1732,AUDUSDC,0.0008,0.115,0.6939
1727,OXTBUSD,0.0007,0.445,0.1581
985,WBTCBTC,0.0006,0.06,1.0012
927,JSTUSDT,0.00055,1.01,0.05502
547,GTOUSDT,0.00054,2.127,0.02593
926,JSTBUSD,0.00045,0.824,0.05503
1800,DENTTRY,0.00044,1.68,0.02663
334,XLMUSDT,0.0004,0.271,0.1482
1693,SSVETH,0.000375,9.554,0.0043
1555,FLOWBNB,0.00035,2.971,0.01213
1044,NBSUSDT,0.00033,3.29,0.01036
716,BTSUSDT,0.00032,2.069,0.01579
2,BNBBTC,0.000303,3.024,0.010322
794,CHRUSDT,0.0003,0.11,0.2728
827,DGBBUSD,0.00021,1.431,0.01489
1627,USDPUSDT,0.0002,0.02,1.0003
1602,GNOBTC,0.000182,2.28,0.008163
1293,IOSTBUSD,0.00017,0.887,0.01933
860,DGBUSDT,0.00014,0.948,0.01491
1777,AMPUSDT,0.00012,0.86,0.01407
422,USDCUSDT,0.0001,0.01,1.0004
497,MATICBNB,9.3e-05,3.422,0.002811
466,HOTUSDT,7.7e-05,2.213,0.003557
1390,HOTBUSD,7.1e-05,2.041,0.003549
1641,ILVBTC,7e-05,0.577,0.01221
1381,HOTEUR,6.3e-05,1.901,0.003377
680,FTTBTC,6e-05,5.971,0.0010649
1733,MOVRBTC,5.5e-05,5.991,0.000973
598,MFTUSDT,5.4e-05,1.012,0.005388
1569,FARMBTC,3.7e-05,1.89,0.001995
1836,CVXBTC,3.55e-05,5.62,0.0006672
1692,SSVBTC,3.5e-05,12.094,0.0003244
974,TRBBTC,3.1e-05,7.159,0.000464
599,KEYUSDT,2.1e-05,0.398,0.005301
481,IOSTUSDT,2e-05,0.104,0.01932
1458,SHIBTRY,1.933e-05,8.209,0.00025481
1996,MULTIBTC,1.9e-05,6.187,0.0003261
672,TROYUSDT,1.7e-05,0.332,0.00514
1747,MATICETH,1.61e-05,4.355,0.0003858
1662,DENTBUSD,1.6e-05,0.946,0.001707
1278,FXSBTC,1.17e-05,2.013,0.0005928
1437,POLSBNB,1e-05,0.368,0.002731
1688,TROYBUSD,9e-06,0.176,0.005117
1713,SHIBDOGE,7.9e-06,5.635,0.0001481
1554,FLOWBTC,7.6e-06,6.457,0.0001253
1421,ICPBTC,6e-06,1.77,0.000345
1309,BADGERBTC,5.3e-06,2.776,0.0001962
1454,SHIBBRL,5.01e-06,6.327,8.42e-05
395,DCRBTC,5e-06,0.367,0.001366
1741,ENSBTC,3.6e-06,0.798,0.0004545
1772,JASMYBNB,2.7e-06,6.027,4.75e-05
952,DOTBTC,2.6e-06,0.714,0.0003667
1607,XECUSDT,2.58e-06,4.572,5.901e-05
